SOLARSYSTEMID	SOLARSYSTEMNAME	X	Y	Z	LUMINOSITY	SECURITY	RADIUS
30000001	Tanoo	-8.85E+016	4.24E+016	-4.45E+016	0.02	0.86	1323338364984
30000002	Lashesih	-1.03E+017	4.17E+016	-2.99E+016	0.01	0.75	1018399993728
30000003	Akpivem	-9.12E+016	4.39E+016	-5.65E+016	0.62	0.85	2473362499136
30000004	Jark	-9.37E+016	5.06E+016	-2.84E+016	0.35	0.82	1771412319698
30000005	Sasta	-9.48E+016	4.31E+016	-3.19E+016	0.02	0.81	2563946355912
30000006	Zaid	-8.48E+016	5.23E+016	-5.71E+016	0.02	0.86	1734441937976
30000007	Yuzier	-9.04E+016	5.34E+016	-4.90E+016	0.01	0.91	1297306278056
30000008	Nirbhi	-9.16E+016	5.73E+016	-5.53E+016	0.04	0.88	3716798399124
30000009	Sooma	-8.41E+016	6.92E+016	-7.52E+016	0.01	0.58	1835829276688
30000010	Chidah	-8.06E+016	6.16E+016	-7.98E+016	0.07	0.54	2834263129672
30000011	Shenela	-6.96E+016	5.71E+016	-8.07E+016	0.01	0.46	1295576124296
30000012	Asabona	-8.88E+016	5.75E+016	-9.63E+016	0.71	0.32	3075451729664
30000013	Onsooh	-8.18E+016	6.03E+016	-8.66E+016	0.98	0.44	3468485663152
30000014	Shamahi	-7.78E+016	7.17E+016	-8.79E+016	0.57	0.36	4388111818136
30000015	Sendaya	-7.50E+016	4.77E+016	-9.52E+016	0.08	0.29	2835135884784
30000016	Nazhgete	-8.36E+016	6.37E+016	-8.98E+016	0.01	0.39	1414100419584
30000017	Futzchag	-6.41E+016	4.13E+016	-1.01E+017	0.79	0.17	4132975862416
30000018	Kazna	-7.01E+016	3.85E+016	-9.67E+016	1.5	0.23	2506119728892
30000019	Podion	-5.87E+016	2.60E+016	-1.02E+017	0.08	0.11	2620460967184
30000020	Lilmad	-7.29E+016	5.29E+016	-1.08E+017	1.17	0.16	5267542872992
30000021	Kuharah	-7.44E+016	3.25E+016	-1.01E+017	2.57	0.19	5348679154648
30000022	Jayneleb	-6.08E+016	3.30E+016	-1.05E+017	0.14	0.11	5893956788464
30000023	Fovihi	-8.16E+016	5.05E+016	-5.12E+016	1.08	0.87	2969284249148
30000024	Kiereend	-7.75E+016	5.11E+016	-4.79E+016	0.02	0.84	1462680630932
